,Street,City,State,Zip,Rooms,sqft area,Built in,Price,Current Rents,Cap Rate,Gross Yield,Rating,Links
0,1144 Soria St,Saint Louis,MO,63138,"3bd, 1ba ", 720 ,1966,"$80,000",$750,11.3%,"$4,814",2,https://www.roofstock.com/investment-property-details/missouri-missouri/1144-soria-st-saint-louis-63138/1839174
1,2 Ivy Dr,Little Rock,AR,72209,"3bd, 1ba "," 1,733 ",1955,"$115,000",$800,8.3%,"$5,091",2,https://www.roofstock.com/investment-property-details/arkansas-arkansas/2-ivy-dr-little-rock-72209/1838802
2,190 Grenoble Ln,Florissant,MO,63033,"3bd, 1ba ", 888 ,1957,"$105,000","$1,050",12.0%,"$6,913",3,https://www.roofstock.com/investment-property-details/missouri-missouri/190-grenoble-ln-florissant-63033/1762432
3,6611 Diamond Pass,San Antonio,TX,78239,"3bd, 3ba "," 1,879 ",1998,"$195,000","$1,450",8.9%,"$7,531",3,https://www.roofstock.com/investment-property-details/san%20antonio-texas/6611-diamond-pass-san-antonio-78239/1843783
4,9934 PERMIAN BAY,San Antonio,TX,78245,"3bd, 3ba "," 1,582 ",2000,"$180,000","$1,400",9.3%,"$7,423",3,https://www.roofstock.com/investment-property-details/san%20antonio-texas/9934-permian-bay-san-antonio-78245/1843764
5,4465 Smithfield Cv,Unincorporated,TN,38125,"4bd, 2.1ba "," 2,799 ",1986,"$239,900","$1,800",9.0%,"$13,628",3,https://www.roofstock.com/investment-property-details/memphis-tennessee/4465-smithfield-cv-unincorporated-38125/1843755
6,1422 Cherry Rd,Memphis,TN,38117,"3bd, 1.1ba "," 2,199 ",1954,"$175,000","$1,500",10.3%,"$10,508",3,https://www.roofstock.com/investment-property-details/memphis-tennessee/1422-cherry-rd-memphis-38117/1843752
7,1552 Pepperwood St,Memphis,TN,38134,"3bd, 2ba "," 1,799 ",1974,"$150,000","$1,500",12.0%,"$10,535",3,https://www.roofstock.com/investment-property-details/memphis-tennessee/1552-pepperwood-st-memphis-38134/1843751
8,3241 N Waynoka Cir,Memphis,TN,38111,"2bd, 1ba "," 1,199 ",1950,"$149,000","$1,400",11.3%,"$9,829",2,https://www.roofstock.com/investment-property-details/memphis-tennessee/3241-n-waynoka-cir-memphis-38111/1843750
9,8259 Floral Springs Dr,Memphis,TN,38016,"3bd, 2ba "," 1,799 ",1999,"$199,900","$1,675",10.1%,"$11,832",3,https://www.roofstock.com/investment-property-details/memphis-tennessee/8259-floral-springs-dr-memphis-38016/1843749
10,6809 Spring River Rd,Unincorporated,TN,38141,"3bd, 2ba "," 1,599 ",2009,"$195,000","$1,625",10.0%,"$12,726",3,https://www.roofstock.com/investment-property-details/memphis-tennessee/6809-spring-river-rd-unincorporated-38141/1843748
11,1538 Beringer Dr,Unincorporated,TN,38018,"3bd, 2ba "," 1,599 ",2000,"$180,000","$1,500",10.0%,"$11,487",3,https://www.roofstock.com/investment-property-details/memphis-tennessee/1538-beringer-dr-unincorporated-38018/1843747
12,3303 ALONZO FLDS,Converse,TX,78109,"4bd, 3ba "," 2,153 ",2007,"$212,500","$1,535",8.7%,"$8,252",3,https://www.roofstock.com/investment-property-details/san%20antonio-texas/3303-alonzo-flds-converse-78109/1843297
13,77030 California Dr,Palm Desert,CA,92211,"3bd, 2ba "," 1,900 ",1962,"$400,000","$2,095",6.3%,"$12,493",3,https://www.roofstock.com/investment-property-details/riverside%20-%20san%20bernardino-california/77030-california-dr-palm-desert-92211/1842581
14,76723 Oklahoma Ave,Palm Desert,CA,92211,"2bd, 2ba "," 1,238 ",1978,"$345,000","$1,700",5.9%,"$10,096",3,https://www.roofstock.com/investment-property-details/riverside%20-%20san%20bernardino-california/76723-oklahoma-ave-palm-desert-92211/1842468
15,4534 Waverly Ave,Kansas City,KS,66104,"3bd, 1ba ", 918 ,1935,"$103,500","$1,100",12.8%,"$7,364",2,https://www.roofstock.com/investment-property-details/kansas%20city-kansas/4534-waverly-ave-kansas-city-66104/1841844
16,7110 College Ave,Kansas City,MO,64132,"3bd, 1ba ", 902 ,1922,"$90,000",$995,13.3%,"$6,636",2,https://www.roofstock.com/investment-property-details/kansas%20city-missouri/7110-college-ave-kansas-city-64132/1841843
17,7906 E 48th St,Kansas City,MO,64129,"3bd, 1ba "," 1,632 ",1960,"$89,000",$995,13.4%,"$6,059",2,https://www.roofstock.com/investment-property-details/kansas%20city-missouri/7906-e-48th-st-kansas-city-64129/1841842
18,9115 E 72nd Ter,Raytown,MO,64133,"3bd, 1ba "," 1,080 ",1954,"$90,000","$1,050",14.0%,"$6,806",3,https://www.roofstock.com/investment-property-details/kansas%20city-missouri/9115-e-72nd-ter-raytown-64133/1841841
19,3899 Princeton Blvd,South Euclid,OH,44121,"3bd, 2ba "," 1,334 ",1953,"$139,000","$1,100",9.5%,"$4,516",3,https://www.roofstock.com/investment-property-details/cleveland-ohio/3899-princeton-blvd-south-euclid-44121/1841709
20,4815 Krueger Ave,Parma,OH,44134,"3bd, 1ba "," 2,012 ",1949,"$139,500","$1,030",8.9%,"$4,778",3,https://www.roofstock.com/investment-property-details/cleveland-ohio/4815-krueger-ave-parma-44134/1841708
21,5150 Oak Haven Cir,Trussville,AL,35173,"3bd, 1ba "," 1,541 ",1950,"$205,000","$1,550",9.1%,"$11,572",5,https://www.roofstock.com/investment-property-details/birmingham-alabama/5150-oak-haven-cir-trussville-35173/1843211
22,977 Narrows Point Dr,Birmingham,AL,35242,"3bd, 2ba "," 1,860 ",2007,"$264,900","$1,900",8.6%,"$15,708",4,https://www.roofstock.com/investment-property-details/birmingham-alabama/977-narrows-point-dr-birmingham-35242/1843206
23,132 Cattail Ln,Calera,AL,35040,"nullbd, 2ba "," 1,295 ",2008,"$145,000","$1,250",10.3%,"$9,785",4,https://www.roofstock.com/investment-property-details/birmingham-alabama/132-cattail-ln-calera-35040/1843205
24,312 Alicetowne Lndg,Brandon,MS,39047,"3bd, 2ba "," 1,439 ",2015,"$179,000","$1,500",10.1%,"$12,232",4,https://www.roofstock.com/investment-property-details/mississippi-mississippi/312-alicetowne-lndg-brandon-39047/1842003
25,4041 Wilmington Rd,South Euclid,OH,44121,"3bd, 1ba "," 2,025 ",1948,"$118,000","$1,300",13.2%,"$6,341",3,https://www.roofstock.com/investment-property-details/cleveland-ohio/4041-wilmington-rd-south-euclid-44121/1841710
26,1475 Holmden Rd,South Euclid,OH,44121,"3bd, 2ba "," 2,070 ",1923,"$138,000","$1,250",10.9%,"$5,518",3,https://www.roofstock.com/investment-property-details/cleveland-ohio/1475-holmden-rd-south-euclid-44121/1841705
27,1766 Grand Blvd,Euclid,OH,44117,"3bd, 2ba "," 1,834 ",1978,"$119,900","$1,350",13.5%,"$6,619",3,https://www.roofstock.com/investment-property-details/cleveland-ohio/1766-grand-blvd-euclid-44117/1841704
28,19350 Locherie Ave,Euclid,OH,44119,"4bd, 2ba "," 1,304 ",1924,"$119,900","$1,250",12.5%,"$6,126",3,https://www.roofstock.com/investment-property-details/cleveland-ohio/19350-locherie-ave-euclid-44119/1841712
